FAQ questions,FAQ answers,modifiert question,type change
Was kostet die Lieferung?,"Wenn Du einen Liefervertrag mit METRO hast, sind die Preise auf www.metro.de bereits inklusive Lieferung. Voraussetzung ist ein Mindestbestellwert von 700 € (netto).   Für Bestellungen unter diesem Betrag können zusätzliche Gebühren anfallen.     Für Bestellungen, die im Onlineshop ""METRO Marktplatz"" getätigt wurden:  Wenn Du über den METRO Onlineshop bestellst, können je nach Händler oder Produkt unterschiedliche Versandkosten gelten. Die genauen Informationen findest Du direkt auf der jeweiligen Produktseite. Die Versandkosten werden ausschließlich vom jeweiligen Verkäufer festgelegt.",wieviel geld kosst die lieferung bitte??,fehler
"Kann ich Artikel scannen, um sie auf die Liste zu setzen?","Ja, über das kleine Barcode-Icon in der Einkaufszettel-Funktion kann ein Barcode eingescannt und alle Artikelinformationen angezeigt werden. Es erscheinen nur Artikel, die im ausgewählten METRO Markt verfügbar sind. Dafür muss das neueste Update der App auf dem Handy installiert sein. ",Kannn ich Artikl scannen um si auf die liste zuseten?!,fehler
"Kann ich Artikel scannen, um sie auf die Liste zu setzen?","Ja, über das kleine Barcode-Icon in der Einkaufszettel-Funktion kann ein Barcode eingescannt und alle Artikelinformationen angezeigt werden. Es erscheinen nur Artikel, die im ausgewählten METRO Markt verfügbar sind. Dafür muss das neueste Update der App auf dem Handy installiert sein. ",kann ich artikel scannen... um sie auf die liste zu setzenn??,fehler
Wo gilt die METRO Karte?,Deine deutsche METRO Kundenkarte kannst Du in jedem unserer METRO- und METRO-GASTRO-Großmärkte in Deutschland nutzen.     Für den Einsatz im Ausland beachte bitte Kann ich meine deutsche Kundenkarte auch im Ausland benutzen?,woh giltt diie Metro Kaarte???,fehler
Wo gilt die METRO Karte?,Deine deutsche METRO Kundenkarte kannst Du in jedem unserer METRO- und METRO-GASTRO-Großmärkte in Deutschland nutzen.     Für den Einsatz im Ausland beachte bitte Kann ich meine deutsche Kundenkarte auch im Ausland benutzen?,WO giilt die metro karre??,fehler
"Was tue ich, wenn ich mein Passwort vergessen habe?","Du kannst Dein Passwort selbständig zurücksetzen. Klicke hierfür unterhalb des Anmeldefensters auf das Feld ""Passwort vergessen?"". Danach wird Dir eine E-Mail zugesendet, die erklärt, wie Du Dein Passwort zurücksetzen.",wat soll ich machen wenn ich mein paswort vergessen hab?,fehler
"Was tue ich, wenn ich mein Passwort vergessen habe?","Du kannst Dein Passwort selbständig zurücksetzen. Klicke hierfür unterhalb des Anmeldefensters auf das Feld ""Passwort vergessen?"". Danach wird Dir eine E-Mail zugesendet, die erklärt, wie Du Dein Passwort zurücksetzen.",PASSWORT VERGESSEN!!!! was mach ich jetzt??,fehler
Welche Daten von mir werden in der App verarbeitet oder gespeichert?,Bitte informiere Dich dazu in den allgemeinen Datenschutzbestimmungen unter www.metro.de/unternehmen/datenschutzhinweise. ,WELCHE DATEEEEN VON MIR WERDEN IN DER APP VEARBEITET ODER GEESPEICHRT?!,fehler
Welche Daten von mir werden in der App verarbeitet oder gespeichert?,Bitte informiere Dich dazu in den allgemeinen Datenschutzbestimmungen unter www.metro.de/unternehmen/datenschutzhinweise. ,welcher daten von mir werdenn iin der ap gespeichert oer verarbeitet??,fehler
Welche METRO Eigenmarken gibt es?,"Entdecke unsere Eigenmarkenvielfalt in bester Qualität:    METRO PROFESSIONAL: für Profis entwickelte Kochutensilien und Küchengeräte sowie Textilien.   METRO Chef: hochwertige Food-Produkte in bedarfsgerechten Packungsgrößen.  METRO Premium: kulinarische Spezialitäten in High-End-Qualität.  aro: vertrauenswürdige Qualität zum günstigsten Preis.  RIOBA: Markenqualität für die Kaffee-, Bar- , sowie die Frühstückswelt.  FineLife: Qualität und Vielfalt zum Kochen, Wiederverkaufen und Genießen.  Tarrington House: alles rund um die Welt des Wohnens.   SIGMA: für Deine professionelle Büroorganisation.   Weitere Informationen findest Du hier. ",Welceh eigen marken hat die metro??!,fehler
Welche METRO Eigenmarken gibt es?,"Entdecke unsere Eigenmarkenvielfalt in bester Qualität:    METRO PROFESSIONAL: für Profis entwickelte Kochutensilien und Küchengeräte sowie Textilien.   METRO Chef: hochwertige Food-Produkte in bedarfsgerechten Packungsgrößen.  METRO Premium: kulinarische Spezialitäten in High-End-Qualität.  aro: vertrauenswürdige Qualität zum günstigsten Preis.  RIOBA: Markenqualität für die Kaffee-, Bar- , sowie die Frühstückswelt.  FineLife: Qualität und Vielfalt zum Kochen, Wiederverkaufen und Genießen.  Tarrington House: alles rund um die Welt des Wohnens.   SIGMA: für Deine professionelle Büroorganisation.   Weitere Informationen findest Du hier. ",metro eigenmarken?? was gibt es da???,fehler
Ich habe meine Karte verloren – was jetzt?,Kein Problem! Melde den Verlust bitte telefonisch unter 0211/17607090 oder über unser Support-Formular.   Du kannst unsere Märkte weiterhin mit Deiner digitalen Karte in der METRO App betreten.,was soll ich jetz machen?ich habe meine karte verloren!!!!,fehler
Ich habe meine Karte verloren – was jetzt?,Kein Problem! Melde den Verlust bitte telefonisch unter 0211/17607090 oder über unser Support-Formular.   Du kannst unsere Märkte weiterhin mit Deiner digitalen Karte in der METRO App betreten.,ich habe meine karte verlorn...jetzt was??,fehler
"Was mache ich, wenn ich einen Fehler entdeckt habe?","In der App unter dem Menüpunkt „Mehr“ gibt es den Punkt „Fehler berichten“. Beim Klicken öffnet sich das E-Mail-Programm und Du kannst den Fehler beschreiben und direkt an das Entwicklerteam melden, sodass Dir direkt geholfen werden kann. Falls Du den persönlichen Kontakt suchen oder Dein Feedback weiter ausführen möchtest, darfst Du gerne Deine Kontaktdaten hinterlassen, sodass wir Dich zurückrufen können. Alternativ kannst Du Dein Anliegen auch wie gewohnt dem Servicecenter melden unter kontakt@metro.de oder über die 0211-17607090. ",WAs mache ich also wenn ich Fehler entdeckt habe...,fehler
"Was mache ich, wenn ich einen Fehler entdeckt habe?","In der App unter dem Menüpunkt „Mehr“ gibt es den Punkt „Fehler berichten“. Beim Klicken öffnet sich das E-Mail-Programm und Du kannst den Fehler beschreiben und direkt an das Entwicklerteam melden, sodass Dir direkt geholfen werden kann. Falls Du den persönlichen Kontakt suchen oder Dein Feedback weiter ausführen möchtest, darfst Du gerne Deine Kontaktdaten hinterlassen, sodass wir Dich zurückrufen können. Alternativ kannst Du Dein Anliegen auch wie gewohnt dem Servicecenter melden unter kontakt@metro.de oder über die 0211-17607090. ",was mach ich wenn ich einen fehler entdektt habe,fehler
Ich bin noch kein METRO Kunde. Kann ich mich trotzdem registrieren?,"Ja, Du kannst Dich über den Button oben rechts registrieren. Du hast die Möglichkeit im Onlineshop einzukaufen oder nach Prüfung Deiner Dokumente auch METRO Großmarkt Kunde zu werden und in Deinem nächstgelegenen Markt einzukaufen. ",Ich bin noch kein metro kunde ... kann ich mich trozdem anmelden?!,fehler
Ich bin noch kein METRO Kunde. Kann ich mich trotzdem registrieren?,"Ja, Du kannst Dich über den Button oben rechts registrieren. Du hast die Möglichkeit im Onlineshop einzukaufen oder nach Prüfung Deiner Dokumente auch METRO Großmarkt Kunde zu werden und in Deinem nächstgelegenen Markt einzukaufen. ",Registrieren geht auch wenn ich noch kein Kunde von Metro bin?,fehler
Wie finde ich die App im Appstore/Playstore?,Die App ist für Android und iOS entwickelt und im jeweiligen Store unter dem Namen „METRO Companion“ zu finden. Mehr Infos dazu findest du auch auf www.metro.de/app.,WIE FINDE ICH DIE APP im playstoer??,fehler
Wie finde ich die App im Appstore/Playstore?,Die App ist für Android und iOS entwickelt und im jeweiligen Store unter dem Namen „METRO Companion“ zu finden. Mehr Infos dazu findest du auch auf www.metro.de/app.,wie kan ich die ap im google app store finden??,fehler
Was ist die Pentagast-Subvention?,"Die METRO Subvention mit Pentagast ist ein finanzieller Zuschuss, mit dem du beim Kauf von Gastro-Geräten über einen Pentagast-Partner unterstützt wirst. Im Gegenzug verpflichtest du dich, innerhalb von 12 Monaten einen definierten Mehrumsatz bei METRO zu erzielen.",wAS iST PENTAGAST subvenzion?!,fehler
Was ist die Pentagast-Subvention?,"Die METRO Subvention mit Pentagast ist ein finanzieller Zuschuss, mit dem du beim Kauf von Gastro-Geräten über einen Pentagast-Partner unterstützt wirst. Im Gegenzug verpflichtest du dich, innerhalb von 12 Monaten einen definierten Mehrumsatz bei METRO zu erzielen.",was ist die pnta gast subvntion??,fehler
Kann ich mit der App auch in einem anderen Land einkaufen?,"Die digitale Karte ist nur im jeweiligen Land der Ausstellung gültig, analog zur Plastikkarte. Für die Nutzung in anderen Ländern müsstest Du Dich bitte am Kundeneingang melden, sodass Dir ein extra Ausweis o.ä. erstellt werden kann.",einkaufe ich auch in einem andern land mit diser ap?!,fehler
Kann ich mit der App auch in einem anderen Land einkaufen?,"Die digitale Karte ist nur im jeweiligen Land der Ausstellung gültig, analog zur Plastikkarte. Für die Nutzung in anderen Ländern müsstest Du Dich bitte am Kundeneingang melden, sodass Dir ein extra Ausweis o.ä. erstellt werden kann.","geht es auch wenn ich in ein anderes land bin ,mit der ap einkaufen ??",fehler
Kann ich von jemandem geworben werden?,"Ja, als Interessent kannst Du von einem bestehenden METRO Kunden geworben werden.  Hier findest Du ausführliche Informationen.",kAn ich von jeman geworben werdEn??,fehler
Kann ich von jemandem geworben werden?,"Ja, als Interessent kannst Du von einem bestehenden METRO Kunden geworben werden.  Hier findest Du ausführliche Informationen.",kann ich von jemand geworben werdenn?!,fehler
Wie funktioniert die Registrierung für myMETRO?,"Die Registrierung ist ganz einfach so geht´s. Wichtig für Dein Passwort: Achte auf die korrekte Schreibweise, merke Dir die Groß- und Kleinbuchstaben! Folgende Zeichen sind beim Passwort erlaubt: A-Z, a-z, 0-9 und @!?_#",Wie funtioniert die Registirung für meinen metro??!,fehler
Wie funktioniert die Registrierung für myMETRO?,"Die Registrierung ist ganz einfach so geht´s. Wichtig für Dein Passwort: Achte auf die korrekte Schreibweise, merke Dir die Groß- und Kleinbuchstaben! Folgende Zeichen sind beim Passwort erlaubt: A-Z, a-z, 0-9 und @!?_#",wii funkzioniert die regsitrierung für myMETRO...,fehler
Wann erhalte ich die neuen Angebote über den METRO Chat?,"Die aktuellen Wochenangebote erhältst Du zum Erscheinungstermin, um Deinen Einkauf bestmöglich planen zu können. Zusätzlich senden wir Dir Produktempfehlungen, spannende Aktionen und Events.  ",WANN ERHALT ICH NEUE angebote über metrro chaaat??,fehler
Wann erhalte ich die neuen Angebote über den METRO Chat?,"Die aktuellen Wochenangebote erhältst Du zum Erscheinungstermin, um Deinen Einkauf bestmöglich planen zu können. Zusätzlich senden wir Dir Produktempfehlungen, spannende Aktionen und Events.  ",wanne kann ich di neue anbote von metro cha sehen??,fehler
Wie melde ich mich bei myMETRO an?,"Gib einfach Deinen Benutzernamen und das Passwort im Anmeldefenster ein. Zum Anmeldefenster gelangst Du, indem Du oben auf der Webseite auf das Feld Login klickst.",WIE MELD ICH MICH BEIM mymetro AN??!,fehler
Wie melde ich mich bei myMETRO an?,"Gib einfach Deinen Benutzernamen und das Passwort im Anmeldefenster ein. Zum Anmeldefenster gelangst Du, indem Du oben auf der Webseite auf das Feld Login klickst.",wie kann ich mich bi my metro anmelden??!,fehler
Wie kann ich Lieferservice Kunde werden?,"Bist Du Gastronomin / Gastronom oder Großverbraucherin / Großverbraucher und hast einen regelmäßigen Bedarf an Gastro-Produkten, dann nutze unseren Lieferservice inklusive der persönlichen Kundenbetreuung.     Wenn Du den Lieferservice nutzen möchtest, kontaktiere Deinen Kundenmanager in Deinem METRO Markt vor Ort. Er erläutert die Voraussetzungen, führt mit Dir gemeinsam die Registrierung für den METRO Online-Bestellservice durch und unterstützt Dich bei der Erstellung Deines ersten Ordersatzes. Du bist noch kein METRO Kunde? Jetzt hier Kunde werden.  Ausführliche Informationen findest Du hier.",WIE kann ich Lieferservis kund werd?!,fehler
Wie kann ich Lieferservice Kunde werden?,"Bist Du Gastronomin / Gastronom oder Großverbraucherin / Großverbraucher und hast einen regelmäßigen Bedarf an Gastro-Produkten, dann nutze unseren Lieferservice inklusive der persönlichen Kundenbetreuung.     Wenn Du den Lieferservice nutzen möchtest, kontaktiere Deinen Kundenmanager in Deinem METRO Markt vor Ort. Er erläutert die Voraussetzungen, führt mit Dir gemeinsam die Registrierung für den METRO Online-Bestellservice durch und unterstützt Dich bei der Erstellung Deines ersten Ordersatzes. Du bist noch kein METRO Kunde? Jetzt hier Kunde werden.  Ausführliche Informationen findest Du hier.",wie kan ich lifer servise kunde werden...?!,fehler
Wie kann ich METRO kontaktieren?,Folgen Möglichkeiten hast Du METRO zu kontaktieren:    Über das Kontaktformular  Per E-Mail: kontakt@metro.de  Per Telefon: 0211 - 17607090 (Zum Ortstarif - Kosten für Anrufe aus dem Mobilfunknetz können abweichen),WIE KANN ICH merto konntaktieren!!!!,fehler
Wie kann ich METRO kontaktieren?,Folgen Möglichkeiten hast Du METRO zu kontaktieren:    Über das Kontaktformular  Per E-Mail: kontakt@metro.de  Per Telefon: 0211 - 17607090 (Zum Ortstarif - Kosten für Anrufe aus dem Mobilfunknetz können abweichen),kann ich metro irgendwiie kontaktieren..??,fehler
Wie kann ich mich über ein DISH Produkt beraten lassen?,"Melde dich bei deinem Kundenmanagement oder fülle das DISH-Kontaktformular aus, damit du direkt kontaktiert wirst: https://www.dish.co/DE/de/reservierungssystem-gastronomie/#SupportRes",WIE kann ich mich über DISH produkte beraten lasen??,fehler
Wie kann ich mich über ein DISH Produkt beraten lassen?,"Melde dich bei deinem Kundenmanagement oder fülle das DISH-Kontaktformular aus, damit du direkt kontaktiert wirst: https://www.dish.co/DE/de/reservierungssystem-gastronomie/#SupportRes",wie kan ich mich übern dish prduk beraten lasen..?,fehler
Wie werde ich METRO Kunde?,"Bei der METRO Deutschland können Kundinnen und Kunden für ihren gewerblichen Bedarf einkaufen. Dazu zählen Gewerbetreibende, Freiberufler, Wiederverkäufer und Großverbraucher.     Ebenfalls Kunde werden können Kindergärten, Schulen, eingetragene Vereine, sonstige Institutionen, Messeveranstalter, Aussteller und Schausteller.  Registriere Dich einfach online oder direkt in einem METRO Markt. Alle Infos findest Du hier.",WIE WERDE ICH METROKUNDE??,fehler
Wie werde ich METRO Kunde?,"Bei der METRO Deutschland können Kundinnen und Kunden für ihren gewerblichen Bedarf einkaufen. Dazu zählen Gewerbetreibende, Freiberufler, Wiederverkäufer und Großverbraucher.     Ebenfalls Kunde werden können Kindergärten, Schulen, eingetragene Vereine, sonstige Institutionen, Messeveranstalter, Aussteller und Schausteller.  Registriere Dich einfach online oder direkt in einem METRO Markt. Alle Infos findest Du hier.",Wie werd ichr metro kunde??,fehler
Wie kann ich als Verein Kunde werden?,"Ob eingetragen oder nicht, Vereine sind in der METRO immer gerne gesehen. Nutze jetzt unsere Vorteile und werde METRO Kunde! Weitere Informationen findest Du hier.",WIE kannn ich als vereiin Kunde werdin??,fehler
Wie kann ich als Verein Kunde werden?,"Ob eingetragen oder nicht, Vereine sind in der METRO immer gerne gesehen. Nutze jetzt unsere Vorteile und werde METRO Kunde! Weitere Informationen findest Du hier.",wie werde ich kunde im verein???,fehler
"Warum erhalte ich die Nachricht „Karteninhaber existiert nicht“, obwohl ich eine Karte besitze?","Vermutlich hast Du eine falsche Kartennummer eingegeben, bitte überprüfe diese noch einmal. Falls es weiterhin nicht funktioniert, sende bitte ein Fehlerprotokoll direkt an das Entwicklerteam, indem Du in der App im Bereich „Mehr“ auf „Fehler berichten“ gehst.","wieso sagt mir das programm ich hab keine karte obwohl ich eine besitz ???????????? ""Karteninhaber existiert nicht""",fehler
"Warum erhalte ich die Nachricht „Karteninhaber existiert nicht“, obwohl ich eine Karte besitze?","Vermutlich hast Du eine falsche Kartennummer eingegeben, bitte überprüfe diese noch einmal. Falls es weiterhin nicht funktioniert, sende bitte ein Fehlerprotokoll direkt an das Entwicklerteam, indem Du in der App im Bereich „Mehr“ auf „Fehler berichten“ gehst.",warum krieg ich immmer diese nachricht : karteninhaber nicht gefunden ????? ich besitze eine karte ...,fehler
Wie kann ich mein Lieferdatum ändern?,"Dein Lieferdatum wird bei Vertragsabschluss gemeinsam mit Deinem Kundenmanager festgelegt.   Wenn Du es ändern möchtest, kontaktiere bitte deinen Kundenmanager oder schreibe uns über das Kontaktformular.",wie kann ich mein LIEFER DATUM ändern...?,fehler
Wie kann ich mein Lieferdatum ändern?,"Dein Lieferdatum wird bei Vertragsabschluss gemeinsam mit Deinem Kundenmanager festgelegt.   Wenn Du es ändern möchtest, kontaktiere bitte deinen Kundenmanager oder schreibe uns über das Kontaktformular.",Wie kann ich mein liefer datumr ändern können?,fehler
Wie hoch kann die Pentagast Subvention sein?,"Die Höhe der Subvention richtet sich nach dem Mehrumsatz, den Du planst. In der Regel liegt der Zuschuss zwischen 1.000 € und 2.500 €. Bei größeren Projekten oder besonderen Vereinbarungen kann er auch höher ausfallen. Die genaue Summe wird individuell in Deinem Vertrag festgelegt.",wii hoch kann die Pentagast subvenzion sein!!!!,fehler
Wie hoch kann die Pentagast Subvention sein?,"Die Höhe der Subvention richtet sich nach dem Mehrumsatz, den Du planst. In der Regel liegt der Zuschuss zwischen 1.000 € und 2.500 €. Bei größeren Projekten oder besonderen Vereinbarungen kann er auch höher ausfallen. Die genaue Summe wird individuell in Deinem Vertrag festgelegt.",wie Hoch kann die Penta Gast subvention sein??,fehler
Wie kann ich mich für METRO Chat anmelden?,"Um Nachrichten zu empfangen, scanne einfach den QR-Code auf metro.de/metro-chat oder klicke auf den Link zur Anmeldung und sende die vorformulierte Nachricht im Chat ab.",WIE kann ich michh bei metro Chat anmeldnen?!,fehler
Wie kann ich mich für METRO Chat anmelden?,"Um Nachrichten zu empfangen, scanne einfach den QR-Code auf metro.de/metro-chat oder klicke auf den Link zur Anmeldung und sende die vorformulierte Nachricht im Chat ab.",wie kannn ich mich für metroo chat anmelden...,fehler
Wie bekomme ich meine digitale METRO/Makro Karte?,"Wenn Du bereits METRO Kunde bist, kannst Du ganz einfach eine digitale Version Deiner Karte erstellen. Dafür brauchst Du ein digitales Profil.   Falls Du noch keines hast, kannst Du Dich hier registrieren und Deine bestehende METRO Karte hinzufügen. Noch einfacher geht's mit der METRO App. Melde dich dort an und hinterlege deine Kundenkarte - folge einfach den dort angegebenen Schritten.     Du bist noch kein Kunde? Alle Infos zur Registrierung findest Du hier.     Sobald Du Dein digitales Profil erstellt hast, kannst Du die METRO/Makro App hier herunterladen und Deine digitale Karte direkt in der App abrufen. Achte darauf, dass der Name auf Deiner Karte mit dem Namen in Deinem digitalen Profil übereinstimmt.",Wie bekomme Ich meine digital metro/makro karte?!,fehler
Wie bekomme ich meine digitale METRO/Makro Karte?,"Wenn Du bereits METRO Kunde bist, kannst Du ganz einfach eine digitale Version Deiner Karte erstellen. Dafür brauchst Du ein digitales Profil.   Falls Du noch keines hast, kannst Du Dich hier registrieren und Deine bestehende METRO Karte hinzufügen. Noch einfacher geht's mit der METRO App. Melde dich dort an und hinterlege deine Kundenkarte - folge einfach den dort angegebenen Schritten.     Du bist noch kein Kunde? Alle Infos zur Registrierung findest Du hier.     Sobald Du Dein digitales Profil erstellt hast, kannst Du die METRO/Makro App hier herunterladen und Deine digitale Karte direkt in der App abrufen. Achte darauf, dass der Name auf Deiner Karte mit dem Namen in Deinem digitalen Profil übereinstimmt.",wie bekom ich meine digitale metro makro karte bitte??,fehler
Kann ich DISH Produkte auch in meinem METRO Markt kaufen?,"DISH PAY NOW – unser einfaches Kartenzahlungsgerät – ist in jedem METRO Markt verfügbar.   Alle weiteren Produkte kannst du über unsere DISH-Experten erwerben.      Für mehr Infos melde dich bei unserem Kundenmanagement oder fülle das DISH-Kontaktformular aus, damit du direkt kontaktiert wirst: https://www.dish.co/DE/de/reservierungssystem-gastronomie/#SupportRes",KANN ich DieSh produkte in meinem metrO markt auch kaufen?!,fehler
Kann ich DISH Produkte auch in meinem METRO Markt kaufen?,"DISH PAY NOW – unser einfaches Kartenzahlungsgerät – ist in jedem METRO Markt verfügbar.   Alle weiteren Produkte kannst du über unsere DISH-Experten erwerben.      Für mehr Infos melde dich bei unserem Kundenmanagement oder fülle das DISH-Kontaktformular aus, damit du direkt kontaktiert wirst: https://www.dish.co/DE/de/reservierungssystem-gastronomie/#SupportRes",kannn ich disch produkte auch im metro markt kaufen??,fehler
Wie funktioniert die Pentagast Subvention genau?,"Du schließt einen Subventionsvertrag ab, in dem alles Wichtige festgehalten wird: die Höhe der Subvention, die Laufzeit, Dein Basisumsatz und Dein Umsatzziel. Sobald der Vertrag aktiv ist, werden alle relevanten Umsätze automatisch auf Dein Ziel angerechnet.",wie funkzioniert die penta gast subvention ieigentlich?!,fehler
Wie funktioniert die Pentagast Subvention genau?,"Du schließt einen Subventionsvertrag ab, in dem alles Wichtige festgehalten wird: die Höhe der Subvention, die Laufzeit, Dein Basisumsatz und Dein Umsatzziel. Sobald der Vertrag aktiv ist, werden alle relevanten Umsätze automatisch auf Dein Ziel angerechnet.",wie funktioniert die penta gasts subvenzion genauuu??,fehler
Wie funktioniert Scan & Go?,"Mit Scan & Go scannst Du Deine Produkte bereits während Deines Einkaufs. Ohne den Einkauf aufs Kassenband zu legen, zahlst Du an einer regulären Kasse via digitaler Kundenkarte oder in ausgewählten Märkten an einer Self-Checkout-Kasse. Mehr über Scan & Go erfährst Du unter https://www.metro.de/service/app/scan-go.",wieso scan&go überhaupt?!,fehler
Wie funktioniert Scan & Go?,"Mit Scan & Go scannst Du Deine Produkte bereits während Deines Einkaufs. Ohne den Einkauf aufs Kassenband zu legen, zahlst Du an einer regulären Kasse via digitaler Kundenkarte oder in ausgewählten Märkten an einer Self-Checkout-Kasse. Mehr über Scan & Go erfährst Du unter https://www.metro.de/service/app/scan-go.",wie geht das denn scanen und gehn?!,fehler
Wo finde ich meine Rechnungen?,"Wenn Du deine Rechnungen überprüfen möchtest, kannst Du dies tun, indem Du hier auf dein digitales Profil zugreifst [https://docs.metro.de]. Wenn Du noch kein digitales Profil hast, kannst Du hier [https://my.metro.de] eines erstellen. Sobald Sie Ihre Anmeldeinformationen eingegeben haben, fügen Sie Ihre vorhandene Karte Ihrem Konto hinzu.  Sobald Du dich mit deinen Anmeldedaten angemeldet hast, kannst Du diese auch finden, indem Du oben rechts auf der Seite auf deinen Namen klickst und im Dropdown-Menü „Rechnungen“ auswählst. Dort solltest Du die Art der Rechnung auswählen können, die Du sehen möchtest: Einkäufe in unserem Onlineshop, aus deinen gelieferten Bestellungen oder aus Einkäufen, die in einem unserer Geschäfte getätigt wurden.",* WO FINDE ICH MEINE RECHNUNGS??,fehler
Wo finde ich meine Rechnungen?,"Wenn Du deine Rechnungen überprüfen möchtest, kannst Du dies tun, indem Du hier auf dein digitales Profil zugreifst [https://docs.metro.de]. Wenn Du noch kein digitales Profil hast, kannst Du hier [https://my.metro.de] eines erstellen. Sobald Sie Ihre Anmeldeinformationen eingegeben haben, fügen Sie Ihre vorhandene Karte Ihrem Konto hinzu.  Sobald Du dich mit deinen Anmeldedaten angemeldet hast, kannst Du diese auch finden, indem Du oben rechts auf der Seite auf deinen Namen klickst und im Dropdown-Menü „Rechnungen“ auswählst. Dort solltest Du die Art der Rechnung auswählen können, die Du sehen möchtest: Einkäufe in unserem Onlineshop, aus deinen gelieferten Bestellungen oder aus Einkäufen, die in einem unserer Geschäfte getätigt wurden.",* wo sind meine rechnungenzu finden??,fehler
Wie kann ich meine Lieferung bezahlen?,"Du hast folgende Zahlungsmöglichkeiten:  Mit METRO Kredit (individuell), per Lastschrift oder Überweisung.   Bitte beachte, dass die verfügbaren Zahlungsmethoden je nach Vertrag variieren können.",WIE kann ich meien lieferugen bezahln??,fehler
Wie kann ich meine Lieferung bezahlen?,"Du hast folgende Zahlungsmöglichkeiten:  Mit METRO Kredit (individuell), per Lastschrift oder Überweisung.   Bitte beachte, dass die verfügbaren Zahlungsmethoden je nach Vertrag variieren können.",Wie kann ich meine lieferug bezhalen..??,fehler
Was ist DISH?,DISH ist eine Tochtergesellschaft der METRO Gruppe und bietet digitale Tools für Gastronomieprofis an. Mehr Infos findest du auf: https://www.dish.co/DE/de/,WAs iss das DISh?!,fehler
Was ist DISH?,DISH ist eine Tochtergesellschaft der METRO Gruppe und bietet digitale Tools für Gastronomieprofis an. Mehr Infos findest du auf: https://www.dish.co/DE/de/,DISCH was ist das??,fehler
Warum wurde ich von Rufnummer 021117607096 oder 021117607097 angerufen?,"Wir haben versucht, Dich telefonisch zu kontaktieren. Dies hat in der Regel einen der folgenden Gründe:      Es gab einen Produktrückruf zu einem von Deinem oder einem Deiner Einkaufsberechtigten erworbenen Artikel.  Die Werbung (oder Newsletter) konnte nicht zugestellt werden und wir wollten Deine neue Adresse in Erfahrung bringen, um Dir unsere gewohnten Angebote zukommen zulassen.  Wir wollten Dich nach Ihrem letzten Einkauf befragen, ob alles in Ordnung war.  Wir hatten ein attraktives Angebot für Dich, das wir Dir vorstellen wollten      Wir versuchen Dich in der Regel mehrfach zu erreichen. Bitte habe ein wenig Geduld, bis einer unserer Mitarbeiter sich erneut bei Dir meldet. Wenn Du bereits jetzt eine Frage hast, kannst Du dich jederzeit melden: zum Kontaktformular     Solltest Du nicht mehr angerufen oder kontaktiert werden wollen, kannst Du uns das gerne im Gespräch mitteilen oder über unser Kontaktformular. Wir kommen Deiner Bitte selbstverständlich nach. Bitte beachte, dass wir Dich bei einem Produktrückruf dennoch telefonisch kontaktieren müssen, da wir hier unserer gesetzlichen Informationspflicht nachkommen müssen.",WARUM werd ich von ruf nr 021117607096 oder021117607097 angerufen wurde?!,fehler
Warum wurde ich von Rufnummer 021117607096 oder 021117607097 angerufen?,"Wir haben versucht, Dich telefonisch zu kontaktieren. Dies hat in der Regel einen der folgenden Gründe:      Es gab einen Produktrückruf zu einem von Deinem oder einem Deiner Einkaufsberechtigten erworbenen Artikel.  Die Werbung (oder Newsletter) konnte nicht zugestellt werden und wir wollten Deine neue Adresse in Erfahrung bringen, um Dir unsere gewohnten Angebote zukommen zulassen.  Wir wollten Dich nach Ihrem letzten Einkauf befragen, ob alles in Ordnung war.  Wir hatten ein attraktives Angebot für Dich, das wir Dir vorstellen wollten      Wir versuchen Dich in der Regel mehrfach zu erreichen. Bitte habe ein wenig Geduld, bis einer unserer Mitarbeiter sich erneut bei Dir meldet. Wenn Du bereits jetzt eine Frage hast, kannst Du dich jederzeit melden: zum Kontaktformular     Solltest Du nicht mehr angerufen oder kontaktiert werden wollen, kannst Du uns das gerne im Gespräch mitteilen oder über unser Kontaktformular. Wir kommen Deiner Bitte selbstverständlich nach. Bitte beachte, dass wir Dich bei einem Produktrückruf dennoch telefonisch kontaktieren müssen, da wir hier unserer gesetzlichen Informationspflicht nachkommen müssen.",warum wurd ich vonr ufnummer 021117607096 od. 021117607097 angerufen :(,fehler
Komme ich mit der digitalen Karte in den Markt?,"Ja, jeder kann mit der digitalen Karte den Markt betreten.",kann ich mit digitaler karte in maerk ein???,fehler
Komme ich mit der digitalen Karte in den Markt?,"Ja, jeder kann mit der digitalen Karte den Markt betreten.",komme ich mit der karte digital in den mark rein???,fehler
Welche digitalen Produkte bietet DISH an?,Von Kassensystemen über Zahlungslösungen bis hin zu weiteren digitalen Tools umfasst das Portfolio von DISH für jeden Gastronomen etwas. Informiere dich direkt auf der DISH-Webseite über die Produkte: https://www.dish.co/DE/de/,Welceh Digitale prodekte bietet dihs an ?,fehler
Welche digitalen Produkte bietet DISH an?,Von Kassensystemen über Zahlungslösungen bis hin zu weiteren digitalen Tools umfasst das Portfolio von DISH für jeden Gastronomen etwas. Informiere dich direkt auf der DISH-Webseite über die Produkte: https://www.dish.co/DE/de/,welche digital produkte bietet die Firma Dish an?!,fehler
